backend,experts_per_rank,channels,repeat,rank,returncode,dispatch_bandwidth_gbps,avg_us,min_us,max_us,log_file
rc_gda,16,2,2,1,0,49.79,152.37,136.06,174.08,ep16/channels2_repeat2.log
rc_gda,16,2,2,2,0,49.68,152.7,137.06,173.98,ep16/channels2_repeat2.log
rc_gda,16,2,2,3,0,49.96,151.83,133.89,172.9,ep16/channels2_repeat2.log
rc_gda,16,4,0,0,0,52.08,145.66,132.7,159.3,ep16/channels4_repeat0.log
rc_gda,16,4,0,1,0,51.84,146.33,128.77,162.69,ep16/channels4_repeat0.log
rc_gda,16,4,0,2,0,52.19,145.34,128.42,161.02,ep16/channels4_repeat0.log
rc_gda,16,4,0,3,0,52.15,145.47,130.05,159.2,ep16/channels4_repeat0.log
rc_gda,16,4,1,0,0,52.0,145.88,130.98,161.7,ep16/channels4_repeat1.log
rc_gda,16,4,1,1,0,52.4,144.76,130.05,160.74,ep16/channels4_repeat1.log
rc_gda,16,4,1,2,0,52.15,145.46,130.53,157.15,ep16/channels4_repeat1.log
rc_gda,16,4,1,3,0,52.27,145.14,128.32,158.11,ep16/channels4_repeat1.log
rc_gda,16,4,2,0,0,52.16,145.44,134.75,155.26,ep16/channels4_repeat2.log
rc_gda,16,4,2,1,0,52.36,144.88,130.14,161.18,ep16/channels4_repeat2.log
rc_gda,16,4,2,2,0,52.17,145.41,130.27,160.16,ep16/channels4_repeat2.log
rc_gda,16,4,2,3,0,52.25,145.18,128.42,159.14,ep16/channels4_repeat2.log
rc_gda,16,8,0,0,0,53.14,142.76,131.94,155.49,ep16/channels8_repeat0.log
rc_gda,16,8,0,1,0,53.42,141.99,126.4,157.86,ep16/channels8_repeat0.log
rc_gda,16,8,0,2,0,53.34,142.21,126.37,155.01,ep16/channels8_repeat0.log
rc_gda,16,8,0,3,0,53.28,142.37,126.34,155.04,ep16/channels8_repeat0.log
rc_gda,16,8,1,0,0,53.66,141.37,128.38,152.99,ep16/channels8_repeat1.log
rc_gda,16,8,1,1,0,53.64,141.41,126.27,155.26,ep16/channels8_repeat1.log
rc_gda,16,8,1,2,0,53.68,141.31,134.46,146.82,ep16/channels8_repeat1.log
rc_gda,16,8,1,3,0,53.68,141.32,130.53,150.88,ep16/channels8_repeat1.log
rc_gda,16,8,2,0,0,53.71,141.22,128.93,151.42,ep16/channels8_repeat2.log
rc_gda,16,8,2,1,0,53.73,141.17,124.61,157.31,ep16/channels8_repeat2.log
rc_gda,16,8,2,2,0,53.89,140.78,130.66,151.1,ep16/channels8_repeat2.log
rc_gda,16,8,2,3,0,53.96,140.58,128.26,150.98,ep16/channels8_repeat2.log
rc_gda,16,16,0,0,0,54.71,138.65,128.1,150.66,ep16/channels16_repeat0.log
rc_gda,16,16,0,1,0,54.38,139.5,126.21,153.22,ep16/channels16_repeat0.log
rc_gda,16,16,0,2,0,54.58,138.99,125.34,152.99,ep16/channels16_repeat0.log
